08/02/2022 21:41:08, HDC2010, humidity, 76.52
08/02/2022 21:41:09, HDC2010, humidity, 76.32
08/02/2022 21:41:11, HDC2010, humidity, 76.10
08/02/2022 21:41:13, HDC2010, humidity, 75.92
08/02/2022 21:41:15, HDC2010, humidity, 74.30
08/02/2022 21:41:17, HDC2010, humidity, 75.68
08/02/2022 21:41:19, HDC2010, humidity, 75.57
08/02/2022 21:41:21, HDC2010, humidity, 75.47
08/02/2022 21:41:23, HDC2010, humidity, 75.40
08/02/2022 21:41:25, HDC2010, humidity, 75.34
08/02/2022 21:41:27, HDC2010, humidity, 75.26
08/02/2022 21:41:29, HDC2010, humidity, 75.12
08/02/2022 21:41:31, HDC2010, humidity, 74.98
08/02/2022 21:41:33, HDC2010, humidity, 74.80
