08/02/2022 21:41:08, HDC2010, temperature, 15.89
08/02/2022 21:41:09, HDC2010, temperature, 15.86
08/02/2022 21:41:11, HDC2010, temperature, 15.87
08/02/2022 21:41:13, HDC2010, temperature, 15.85
08/02/2022 21:41:15, HDC2010, temperature, 15.86
08/02/2022 21:41:17, HDC2010, temperature, 15.86
08/02/2022 21:41:19, HDC2010, temperature, 15.86
08/02/2022 21:41:21, HDC2010, temperature, 15.85
08/02/2022 21:41:23, HDC2010, temperature, 15.84
08/02/2022 21:41:25, HDC2010, temperature, 15.83
08/02/2022 21:41:27, HDC2010, temperature, 15.82
08/02/2022 21:41:29, HDC2010, temperature, 15.82
08/02/2022 21:41:31, HDC2010, temperature, 15.82
08/02/2022 21:41:33, HDC2010, temperature, 15.80
08/02/2022 21:41:35, HDC2010, temperature, 15.81
